Value
"(0.29032160697257114, 0.04567559266271844)"
"(0.283750514234271, 0.04176374646436086)"
"(0.2527724521674161, 0.04534351000983862)"
"(0.22140229433924613, 0.048307177418963385)"
"(0.28435003315191887, 0.03678229960510694)"
"(0.2331861987110874, 0.047787210680323614)"
"(0.2450872000207958, 0.03785101055286988)"
"(0.2708945054252338, 0.049190928162014126)"
"(0.2851044640334881, 0.05218670649886828)"
"(0.24533309937540496, 0.045842715533343244)"
"(0.29315668430912145, 0.04913401257351638)"
"(0.25475084739818715, 0.0354282476350948)"
"(0.30250717058470644, 0.045197368015694586)"
"(0.22624450439171484, 0.048434715768781014)"
"(0.2865100040031443, 0.04673042059003246)"
"(0.2767236141226335, 0.05208198145013089)"
"(0.22844332937063438, 0.05050469725444984)"
"(0.28145062950913013, 0.03891886029626894)"
"(0.21642264211120155, 0.04939929491556974)"
"(0.2655211834638477, 0.04728162420124746)"
"(0.28543507276977254, 0.044043197451915046)"
"(0.2613364584480664, 0.03423383947041944)"
"(0.2999922886654478, 0.04562691634359568)"
"(0.2603031794629892, 0.05222571236816119)"
"(0.22796687876553523, 0.0491903631505706)"
"(0.29125937439843463, 0.04933885729485713)"
"(0.21246804049413506, 0.0486886222971708)"
"(0.2412196232696139, 0.03778257520942811)"
"(0.2180376526562442, 0.04959167181688934)"
"(0.25604018172908605, 0.04318562044711871)"
"(0.23910561386562248, 0.04523798680309525)"
"(0.2770274974819317, 0.04966200540720514)"
"(0.22295096972099368, 0.043926835645502454)"
"(0.30483242598028243, 0.04464620047537242)"
"(0.28771992042778827, 0.04544890192392742)"
"(0.24285604870479865, 0.044674105186071705)"
"(0.26241563424380565, 0.05528910693421486)"
"(0.30272122254782335, 0.045055027676840526)"
"(0.23443083752676866, 0.047258482896906345)"
"(0.28272327645642514, 0.035007174597498844)"
"(0.2592371516164579, 0.036894158274099406)"
"(0.2509246847029818, 0.05686538617760037)"
"(0.25005301217219933, 0.04637186945472299)"
"(0.2427899832672977, 0.03587589912893062)"
"(0.2258279440896678, 0.03935335055781794)"
"(0.22269740762673923, 0.04685345409749398)"
"(0.27468379759935624, 0.055216043306602666)"
"(0.23364292212571086, 0.041877704590667295)"
"(0.2523833215038622, 0.04541346376521375)"
"(0.2644579408621206, 0.03396098005933509)"
"(0.26174672787089737, 0.052619758647323614)"
"(0.23106610294337374, 0.03965173775031368)"
"(0.2687686590894288, 0.04404152181815669)"
"(0.28360249674240146, 0.05222359819711413)"
"(0.280347953987907, 0.044797627029415046)"
"(0.25883486902283515, 0.04462348981751914)"
"(0.21871799346232176, 0.04848257252713509)"
"(0.25186671873431027, 0.033637103461466755)"
"(0.26291811941137405, 0.041679584547002685)"
"(0.22809816340604894, 0.048575461160635366)"
"(0.29156649085608183, 0.04793551137621356)"
"(0.23065341994245714, 0.041822901042767154)"
"(0.2686125836421353, 0.041463737306799156)"
"(0.2664601499807599, 0.03659611171552403)"
"(0.26032444620074846, 0.054835821993929015)"
"(0.22368975611667602, 0.039155432436295684)"
"(0.24352843946091213, 0.03442508093265946)"
"(0.2787726257810462, 0.049999492678868704)"
"(0.28016629600398457, 0.04879073712172316)"
"(0.2744399405792073, 0.04874198312719509)"
"(0.2510344026120489, 0.035247098856140954)"
"(0.2735831222240908, 0.05326006309058623)"
"(0.2967588897709999, 0.039842274203850926)"
"(0.2768999396813641, 0.053941796936940664)"
"(0.2526088324311404, 0.0500621685598762)"
"(0.27268362302570814, 0.04036137809468566)"
"(0.2314974942656284, 0.03852376241014459)"
"(0.23845327674139058, 0.040610339748221175)"
"(0.27850351199471257, 0.05349299865204382)"
"(0.28093420594133833, 0.05265889351395396)"
"(0.27571143655227326, 0.04304518729631017)"
"(0.2507307468180421, 0.0373820772055792)"
"(0.2477014947431047, 0.045334844288398415)"
"(0.2820463346890338, 0.041200790274421806)"
"(0.22878039095417477, 0.05522419265242828)"
"(0.3052924858361552, 0.042556170045639524)"
"(0.23129840313761046, 0.04041772931449851)"
"(0.25952561980321853, 0.05241609034008324)"
"(0.22610604080928468, 0.046957652983609294)"
"(0.28346366330193495, 0.037728885598208396)"
"(0.2835775194971307, 0.042490733778868764)"
"(0.2539440351055692, 0.03531764589117082)"
"(0.29749983506138034, 0.04448142626136062)"
"(0.25880444465724006, 0.04121548382168157)"
"(0.2585995952601462, 0.042293943404580564)"
"(0.2917125436931524, 0.051128199258847984)"
"(0.2540499403186081, 0.054354589521318095)"
"(0.2826657301273416, 0.03938570507347306)"
"(0.23987881590749166, 0.048139708451916605)"
"(0.290741485555994, 0.03959279426693055)"
"(0.24033935992874622, 0.053490642340627864)"
"(0.2965052924612034, 0.04032536004242735)"
"(0.24016638003473106, 0.03877066975333793)"
"(0.23518950587352802, 0.04672253577057221)"
"(0.24721888820840637, 0.03684019094247437)"
"(0.2261884723792521, 0.04185197482738108)"
"(0.26799459341641735, 0.05220778645450823)"
"(0.2369724539079868, 0.03641560761187797)"
"(0.2490062603669864, 0.05090173861462109)"
"(0.2552804195823054, 0.04588862792511769)"
"(0.23720209292677238, 0.045532149564021074)"
"(0.230297993015249, 0.0481995276194894)"
"(0.29727311707725357, 0.04524718514700528)"
"(0.2810559976382624, 0.05254412312755201)"
"(0.24764421536520867, 0.03472545268474182)"
"(0.2491991139681499, 0.03672132714257487)"
"(0.2504963653114872, 0.05642917456279273)"
"(0.29599014123836076, 0.04901603787244396)"
"(0.260176797667674, 0.0545991207106907)"
"(0.25320967770631664, 0.053415778908554215)"
"(0.26125988905278696, 0.047225641483367414)"
"(0.25539752548508454, 0.04047893678114109)"
"(0.2476706014800159, 0.04812413524329917)"
"(0.2716306686909242, 0.037754012839494734)"
"(0.24751341998618775, 0.04886511134250068)"
"(0.29878524528884004, 0.04791702843437444)"
"(0.28487800992469353, 0.04399847831178179)"
"(0.26395780624513887, 0.03707727183267858)"
"(0.2830934043472284, 0.0397170311124994)"
"(0.25161700150093247, 0.04694909886232547)"
"(0.22670057458371085, 0.0424711513186523)"
"(0.2875412564663771, 0.03667549774488733)"
"(0.22295737564760537, 0.05432453300354645)"
"(0.22766781786397183, 0.0447818027086302)"
"(0.2781127584839127, 0.04671115704566592)"
"(0.2395624521699272, 0.04223914509710332)"
"(0.2533584901989574, 0.03979657586386888)"
"(0.28133019986847296, 0.037429639278010074)"
"(0.24780786600472815, 0.03762836406832946)"
"(0.21867168180516716, 0.05268996521791919)"
"(0.23534079156594723, 0.051745338317965045)"
"(0.2896864926471474, 0.04321598427905736)"
"(0.2675966512516361, 0.05406059485456703)"
"(0.25615009797983573, 0.051052515664838184)"
"(0.27517730023480036, 0.049968523393833036)"
"(0.2664568783611757, 0.04723552984055232)"
"(0.2697576916188232, 0.042696857622502665)"
"(0.21454654580405005, 0.04681009742371839)"
"(0.22287457599560226, 0.0400738498379334)"
"(0.26737650257137924, 0.0335531035915948)"
"(0.22918231680533985, 0.038007430623391236)"
"(0.21714260902028065, 0.04559402605557998)"
"(0.28691216851547674, 0.04329177336267829)"
"(0.25065797144900304, 0.044679715399410055)"
"(0.23487385075575115, 0.05125306681857554)"
"(0.30358710184057514, 0.042460003857004894)"
"(0.2944944441242222, 0.04436809547973877)"
"(0.23485184174761944, 0.04262770216628814)"
"(0.2670034077527107, 0.03733879466435541)"
"(0.2661068643076119, 0.03503538651023926)"
"(0.2706806050547337, 0.043006466657973696)"
"(0.24595211372223227, 0.05041904269428088)"
"(0.29328603454775437, 0.049332115109622085)"
"(0.23381122072619812, 0.052575714917977995)"
"(0.2931601229567856, 0.04609692803151397)"
"(0.28308949509728343, 0.0400534038035715)"
"(0.21784717152053773, 0.04523806190384766)"
"(0.21597072526116504, 0.04232482496630373)"
"(0.2286783830474253, 0.03892844080826126)"
"(0.26613008206731303, 0.041481031139740776)"
"(0.24215396455448754, 0.04135644640026746)"
"(0.29639380870351656, 0.04680127294719896)"
"(0.2798183965659082, 0.05450347693263259)"
"(0.2651877901802811, 0.05103727456557432)"
"(0.2808529347614054, 0.0346864638744834)"
"(0.27024521433796084, 0.045410674401260356)"
"(0.2836645557412558, 0.044158122266835104)"
"(0.271453233385866, 0.050779335767258446)"
"(0.2562529015573331, 0.04651561512668093)"
"(0.2788894768573569, 0.051620292296816334)"
"(0.25670102152743246, 0.053692556432652375)"
"(0.21336428241157124, 0.05192867309031142)"
"(0.22534320077989553, 0.0553895875970532)"
"(0.2623352961014329, 0.05042164839697562)"
"(0.2691558602783015, 0.04401073651110239)"
"(0.30446576612624854, 0.04180597376971795)"
"(0.22371800266492442, 0.04892819228686564)"
"(0.2412188382185661, 0.05614620640705746)"
"(0.21733398035309892, 0.04478843300332319)"
"(0.28600843380297836, 0.047610867054655184)"
"(0.20778482730778025, 0.048066614406808886)"
"(0.24840024496947857, 0.05426709834303359)"
"(0.21383073709453296, 0.044850533179936106)"
"(0.28398828986550595, 0.0518875663773809)"
"(0.24726593041960343, 0.0534490603670395)"
"(0.2471373616481638, 0.04419241808990165)"
"(0.276800478060936, 0.053924742458025504)"
"(0.2706960901044403, 0.036203538747547635)"
"(0.25800717066443657, 0.05639899309949652)"
"(0.22334014283192283, 0.04236154685996256)"
"(0.26703907700947144, 0.04522666911792592)"
"(0.2460637685152031, 0.05148794112135209)"
"(0.24496759154580225, 0.048136781636286013)"
