a
1.0
5.0
5.0
4.0
6.0
6.0
7.0
10.0
8.0
10.0
11.0
10.0
16.0
11.0
15.0
12.0
12.0
14.0
16.0
12.0
15.0
18.0
16.0
19.0
15.0
15.0
14.0
15.0
15.0
13.0
14.0
11.0
14.0
10.0
13.0
14.0
14.0
12.0
12.0
10.0
11.0
4.0
9.0
9.0
9.0
9.0
5.0
10.0
6.0
6.0
5.0
5.0
12.0
10.0
9.0
4.0
2.0
3.0
6.0
2.0
1.0
2.0
1.0
1.0
1.0
0.0
1.0
0.0
2.0
0.0
0.0
0.0
1.0
0.0
1.0
1.0
0.0
0.0
0.0
2.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
