i,j
82,20
83,20
84,20
86,20
91,20
93,20
94,20
97,20
98,20
99,20
101,20
103,20
104,20
107,20
109,20
111,20
113,20
114,20
115,20
118,20
119,20
120,20
83,19
84,19
85,19
86,19
88,19
89,19
90,19
91,19
93,19
94,19
95,19
98,19
103,19
104,19
107,19
108,19
110,19
111,19
114,19
115,19
117,19
118,19
119,19
80,18
87,18
88,18
89,18
90,18
91,18
92,18
93,18
95,18
98,18
99,18
101,18
102,18
103,18
104,18
105,18
106,18
107,18
111,18
113,18
115,18
116,18
118,18
119,18
81,17
82,17
83,17
84,17
86,17
87,17
90,17
91,17
94,17
96,17
100,17
104,17
107,17
108,17
109,17
110,17
111,17
118,17
120,17
81,16
84,16
85,16
86,16
88,16
89,16
92,16
95,16
97,16
99,16
100,16
101,16
104,16
105,16
108,16
114,16
115,16
116,16
117,16
118,16
119,16
81,15
82,15
86,15
88,15
90,15
92,15
93,15
94,15
95,15
96,15
97,15
98,15
99,15
103,15
106,15
108,15
112,15
117,15
119,15
80,14
82,14
83,14
84,14
85,14
87,14
89,14
91,14
92,14
96,14
98,14
100,14
103,14
106,14
110,14
111,14
113,14
114,14
115,14
117,14
118,14
80,13
81,13
82,13
83,13
84,13
85,13
87,13
90,13
91,13
92,13
94,13
95,13
97,13
98,13
99,13
101,13
102,13
104,13
107,13
109,13
110,13
112,13
113,13
116,13
118,13
120,13
85,12
87,12
90,12
91,12
92,12
96,12
97,12
100,12
102,12
105,12
106,12
107,12
108,12
110,12
112,12
113,12
115,12
116,12
118,12
120,12
80,11
81,11
84,11
85,11
94,11
96,11
99,11
100,11
101,11
102,11
105,11
106,11
111,11
116,11
117,11
119,11
83,10
88,10
92,10
93,10
94,10
95,10
97,10
98,10
99,10
101,10
102,10
103,10
104,10
108,10
110,10
111,10
114,10
120,10
80,9
82,9
83,9
84,9
85,9
87,9
88,9
89,9
90,9
92,9
93,9
95,9
97,9
98,9
100,9
101,9
102,9
104,9
108,9
109,9
110,9
111,9
112,9
117,9
120,9
80,8
81,8
86,8
87,8
88,8
89,8
90,8
91,8
93,8
95,8
96,8
97,8
98,8
100,8
101,8
103,8
105,8
106,8
107,8
108,8
109,8
110,8
112,8
114,8
116,8
117,8
80,7
81,7
85,7
88,7
89,7
92,7
95,7
98,7
102,7
103,7
104,7
105,7
106,7
109,7
112,7
113,7
115,7
116,7
117,7
118,7
80,6
81,6
82,6
83,6
86,6
88,6
89,6
93,6
95,6
96,6
99,6
101,6
105,6
108,6
109,6
110,6
113,6
115,6
119,6
80,5
87,5
88,5
91,5
94,5
96,5
100,5
101,5
107,5
109,5
110,5
111,5
112,5
114,5
117,5
120,5
82,4
84,4
85,4
86,4
89,4
94,4
96,4
97,4
102,4
103,4
105,4
106,4
109,4
113,4
114,4
116,4
119,4
81,3
82,3
83,3
86,3
87,3
89,3
90,3
93,3
94,3
99,3
100,3
102,3
104,3
106,3
107,3
112,3
113,3
114,3
115,3
118,3
119,3
120,3
80,2
83,2
87,2
90,2
91,2
92,2
96,2
99,2
102,2
105,2
106,2
112,2
114,2
115,2
116,2
120,2
81,1
82,1
84,1
85,1
86,1
93,1
97,1
100,1
103,1
105,1
107,1
108,1
109,1
111,1
112,1
113,1
116,1
117,1
119,1
120,1
