i,j
80,20
81,20
85,20
87,20
88,20
89,20
90,20
92,20
95,20
96,20
100,20
102,20
105,20
106,20
108,20
110,20
112,20
116,20
117,20
80,19
81,19
82,19
87,19
92,19
96,19
97,19
99,19
100,19
101,19
102,19
105,19
106,19
109,19
112,19
113,19
116,19
120,19
81,18
82,18
83,18
84,18
85,18
86,18
94,18
96,18
97,18
100,18
108,18
109,18
110,18
112,18
114,18
117,18
120,18
80,17
85,17
88,17
89,17
92,17
93,17
95,17
97,17
98,17
99,17
101,17
102,17
103,17
105,17
106,17
112,17
113,17
114,17
115,17
116,17
117,17
119,17
80,16
82,16
83,16
87,16
90,16
91,16
93,16
94,16
96,16
98,16
102,16
103,16
106,16
107,16
109,16
110,16
111,16
112,16
113,16
120,16
80,15
83,15
84,15
85,15
87,15
89,15
91,15
100,15
101,15
102,15
104,15
105,15
107,15
109,15
110,15
111,15
113,15
114,15
115,15
116,15
118,15
120,15
81,14
86,14
88,14
90,14
93,14
94,14
95,14
97,14
99,14
101,14
102,14
104,14
105,14
107,14
108,14
109,14
112,14
116,14
119,14
120,14
86,13
88,13
89,13
93,13
96,13
100,13
103,13
105,13
106,13
108,13
111,13
114,13
115,13
117,13
119,13
80,12
81,12
82,12
83,12
84,12
86,12
88,12
89,12
93,12
94,12
95,12
98,12
99,12
101,12
103,12
104,12
109,12
111,12
114,12
117,12
119,12
82,11
83,11
86,11
87,11
88,11
89,11
90,11
91,11
92,11
93,11
95,11
97,11
98,11
103,11
104,11
107,11
108,11
109,11
110,11
112,11
113,11
114,11
115,11
118,11
120,11
80,10
81,10
82,10
84,10
85,10
86,10
87,10
89,10
90,10
91,10
96,10
100,10
105,10
106,10
107,10
109,10
112,10
113,10
115,10
116,10
117,10
118,10
119,10
81,9
86,9
91,9
94,9
96,9
99,9
103,9
105,9
106,9
107,9
113,9
114,9
115,9
116,9
118,9
119,9
82,8
83,8
84,8
85,8
92,8
94,8
99,8
102,8
104,8
111,8
113,8
115,8
118,8
119,8
120,8
82,7
83,7
84,7
86,7
87,7
90,7
91,7
93,7
94,7
96,7
97,7
99,7
100,7
101,7
107,7
108,7
110,7
111,7
114,7
119,7
120,7
84,6
85,6
87,6
90,6
91,6
92,6
94,6
97,6
98,6
100,6
102,6
103,6
104,6
106,6
107,6
111,6
112,6
114,6
116,6
117,6
118,6
120,6
81,5
82,5
83,5
84,5
85,5
86,5
89,5
90,5
92,5
93,5
95,5
97,5
98,5
99,5
102,5
103,5
104,5
105,5
106,5
108,5
113,5
115,5
116,5
118,5
119,5
80,4
81,4
83,4
87,4
88,4
90,4
91,4
92,4
93,4
95,4
98,4
99,4
100,4
101,4
104,4
107,4
108,4
110,4
111,4
112,4
115,4
117,4
118,4
120,4
80,3
84,3
85,3
88,3
91,3
92,3
95,3
96,3
97,3
98,3
101,3
103,3
105,3
108,3
109,3
110,3
111,3
116,3
117,3
81,2
82,2
84,2
85,2
86,2
88,2
89,2
93,2
94,2
95,2
97,2
98,2
100,2
101,2
103,2
104,2
107,2
108,2
109,2
110,2
111,2
113,2
117,2
118,2
119,2
80,1
83,1
87,1
88,1
89,1
90,1
91,1
92,1
94,1
95,1
96,1
98,1
99,1
101,1
102,1
104,1
106,1
110,1
114,1
115,1
118,1
