i,j
187,11
191,11
196,11
9,10
12,10
15,10
19,10
21,10
27,10
32,10
41,10
45,10
46,10
60,10
65,10
74,10
75,10
92,10
100,10
107,10
119,10
127,10
131,10
137,10
140,10
149,10
150,10
153,10
167,10
168,10
170,10
178,10
179,10
180,10
184,10
191,10
199,10
200,10
17,9
24,9
25,9
26,9
28,9
30,9
31,9
36,9
37,9
38,9
41,9
45,9
47,9
49,9
53,9
57,9
61,9
63,9
68,9
72,9
73,9
118,9
130,9
139,9
157,9
160,9
167,9
168,9
169,9
171,9
172,9
173,9
174,9
177,9
180,9
181,9
182,9
184,9
188,9
189,9
197,9
30,8
32,8
44,8
46,8
48,8
52,8
54,8
55,8
57,8
58,8
59,8
63,8
66,8
69,8
75,8
119,8
120,8
127,8
129,8
131,8
136,8
137,8
140,8
142,8
148,8
149,8
151,8
153,8
155,8
160,8
163,8
164,8
170,8
171,8
173,8
178,8
179,8
183,8
187,8
190,8
199,8
5,7
6,7
12,7
13,7
14,7
15,7
21,7
23,7
26,7
31,7
35,7
44,7
46,7
47,7
51,7
53,7
59,7
62,7
65,7
128,7
137,7
140,7
143,7
147,7
155,7
156,7
162,7
172,7
184,7
189,7
194,7
196,7
199,7
200,7
4,6
7,6
11,6
16,6
17,6
19,6
24,6
25,6
28,6
29,6
36,6
57,6
58,6
68,6
80,6
91,6
120,6
125,6
129,6
137,6
146,6
147,6
149,6
151,6
157,6
174,6
175,6
181,6
185,6
189,6
190,6
195,6
2,5
3,5
14,5
16,5
21,5
31,5
33,5
36,5
39,5
41,5
44,5
47,5
50,5
51,5
52,5
69,5
85,5
128,5
130,5
135,5
136,5
138,5
143,5
145,5
147,5
155,5
157,5
159,5
163,5
164,5
165,5
167,5
176,5
179,5
194,5
200,5
2,4
3,4
4,4
17,4
24,4
27,4
33,4
34,4
40,4
44,4
60,4
82,4
111,4
133,4
146,4
149,4
155,4
171,4
180,4
181,4
190,4
198,4
200,4
2,3
3,3
12,3
13,3
19,3
21,3
22,3
25,3
28,3
29,3
30,3
33,3
34,3
36,3
37,3
39,3
40,3
43,3
53,3
55,3
56,3
67,3
76,3
125,3
131,3
141,3
142,3
143,3
148,3
150,3
153,3
155,3
158,3
163,3
164,3
170,3
173,3
175,3
177,3
178,3
187,3
191,3
192,3
193,3
195,3
196,3
1,2
7,2
13,2
14,2
15,2
20,2
25,2
27,2
28,2
33,2
37,2
39,2
43,2
44,2
47,2
51,2
55,2
59,2
63,2
65,2
74,2
122,2
125,2
126,2
128,2
137,2
140,2
144,2
146,2
148,2
152,2
161,2
163,2
164,2
167,2
173,2
174,2
175,2
176,2
182,2
186,2
197,2
198,2
199,2
4,1
8,1
11,1
12,1
25,1
27,1
28,1
34,1
38,1
39,1
45,1
49,1
53,1
55,1
64,1
71,1
116,1
128,1
130,1
142,1
146,1
147,1
148,1
152,1
154,1
155,1
157,1
158,1
161,1
169,1
171,1
177,1
180,1
182,1
190,1
