i,j
6,20
9,20
10,20
14,20
19,20
20,20
23,20
29,20
30,20
33,20
36,20
38,20
46,20
60,20
63,20
64,20
68,20
74,20
111,20
124,20
134,20
136,20
145,20
148,20
152,20
153,20
154,20
158,20
159,20
160,20
164,20
172,20
173,20
176,20
179,20
184,20
190,20
191,20
195,20
196,20
1,19
8,19
17,19
21,19
26,19
29,19
37,19
42,19
46,19
47,19
49,19
53,19
54,19
56,19
57,19
58,19
59,19
62,19
63,19
68,19
70,19
76,19
87,19
96,19
102,19
138,19
142,19
149,19
153,19
159,19
163,19
165,19
167,19
171,19
179,19
183,19
185,19
187,19
188,19
189,19
193,19
199,19
3,18
4,18
6,18
7,18
9,18
12,18
13,18
16,18
18,18
27,18
29,18
33,18
35,18
38,18
39,18
45,18
46,18
49,18
51,18
53,18
54,18
60,18
65,18
68,18
78,18
129,18
140,18
146,18
147,18
151,18
152,18
156,18
160,18
163,18
168,18
169,18
171,18
177,18
179,18
188,18
190,18
191,18
196,18
199,18
200,18
1,17
5,17
12,17
13,17
15,17
21,17
25,17
27,17
28,17
34,17
47,17
51,17
53,17
54,17
58,17
62,17
63,17
82,17
83,17
99,17
121,17
128,17
130,17
139,17
141,17
142,17
146,17
152,17
156,17
157,17
162,17
167,17
168,17
178,17
181,17
182,17
188,17
195,17
198,17
6,16
11,16
12,16
17,16
18,16
19,16
23,16
28,16
30,16
31,16
35,16
38,16
43,16
45,16
46,16
52,16
56,16
63,16
65,16
70,16
72,16
81,16
123,16
131,16
149,16
150,16
151,16
152,16
154,16
156,16
158,16
160,16
162,16
165,16
171,16
175,16
176,16
177,16
181,16
182,16
184,16
186,16
187,16
192,16
3,15
5,15
19,15
20,15
22,15
23,15
26,15
29,15
30,15
35,15
39,15
40,15
41,15
42,15
45,15
47,15
48,15
50,15
52,15
58,15
59,15
60,15
63,15
84,15
85,15
88,15
110,15
126,15
130,15
133,15
135,15
139,15
141,15
147,15
150,15
151,15
159,15
162,15
167,15
168,15
169,15
173,15
178,15
179,15
180,15
182,15
185,15
189,15
191,15
195,15
197,15
199,15
200,15
1,14
2,14
6,14
9,14
11,14
12,14
19,14
20,14
27,14
29,14
32,14
37,14
45,14
55,14
57,14
60,14
66,14
67,14
68,14
69,14
72,14
75,14
85,14
120,14
125,14
127,14
133,14
146,14
147,14
149,14
151,14
152,14
157,14
158,14
160,14
161,14
165,14
167,14
170,14
171,14
176,14
181,14
182,14
186,14
190,14
196,14
3,13
4,13
6,13
11,13
18,13
20,13
21,13
28,13
36,13
41,13
43,13
44,13
45,13
48,13
53,13
61,13
62,13
74,13
76,13
118,13
124,13
129,13
130,13
135,13
147,13
150,13
151,13
152,13
161,13
162,13
163,13
170,13
178,13
191,13
195,13
197,13
1,12
3,12
5,12
8,12
12,12
14,12
16,12
19,12
20,12
24,12
25,12
28,12
31,12
32,12
33,12
42,12
43,12
47,12
50,12
59,12
63,12
64,12
65,12
71,12
124,12
127,12
133,12
137,12
143,12
147,12
149,12
153,12
167,12
168,12
171,12
173,12
175,12
177,12
178,12
179,12
190,12
193,12
198,12
3,11
5,11
8,11
9,11
10,11
12,11
17,11
20,11
24,11
28,11
29,11
35,11
40,11
41,11
46,11
48,11
55,11
59,11
60,11
69,11
125,11
143,11
149,11
150,11
153,11
155,11
156,11
158,11
159,11
160,11
164,11
170,11
173,11
175,11
179,11
180,11
181,11
