i,j
198,9
4,8
5,8
6,8
8,8
9,8
14,8
19,8
26,8
35,8
38,8
47,8
54,8
58,8
59,8
62,8
66,8
68,8
72,8
77,8
122,8
128,8
137,8
145,8
146,8
154,8
155,8
156,8
158,8
159,8
162,8
163,8
170,8
172,8
175,8
181,8
184,8
185,8
187,8
199,8
200,8
8,7
14,7
19,7
22,7
23,7
24,7
25,7
30,7
32,7
34,7
39,7
41,7
42,7
46,7
47,7
49,7
50,7
52,7
54,7
56,7
58,7
63,7
69,7
70,7
71,7
72,7
74,7
77,7
121,7
124,7
125,7
138,7
151,7
157,7
158,7
166,7
174,7
177,7
178,7
180,7
187,7
192,7
2,6
4,6
13,6
16,6
19,6
26,6
27,6
28,6
31,6
37,6
41,6
43,6
46,6
48,6
50,6
58,6
59,6
74,6
76,6
77,6
79,6
123,6
125,6
127,6
131,6
135,6
138,6
140,6
143,6
146,6
150,6
152,6
154,6
162,6
163,6
164,6
171,6
172,6
176,6
182,6
183,6
187,6
192,6
8,5
9,5
10,5
14,5
15,5
24,5
32,5
38,5
40,5
44,5
48,5
50,5
58,5
64,5
79,5
121,5
122,5
123,5
125,5
130,5
131,5
133,5
141,5
142,5
148,5
160,5
161,5
168,5
173,5
178,5
179,5
187,5
1,4
3,4
9,4
18,4
20,4
21,4
22,4
24,4
25,4
34,4
35,4
45,4
47,4
48,4
49,4
51,4
60,4
61,4
65,4
67,4
71,4
78,4
79,4
121,4
126,4
133,4
138,4
140,4
141,4
142,4
143,4
148,4
149,4
153,4
160,4
161,4
163,4
165,4
168,4
170,4
174,4
175,4
182,4
185,4
189,4
193,4
196,4
198,4
4,3
5,3
11,3
14,3
15,3
21,3
24,3
29,3
32,3
33,3
39,3
40,3
41,3
44,3
49,3
59,3
61,3
63,3
66,3
67,3
68,3
126,3
127,3
129,3
132,3
136,3
141,3
147,3
154,3
157,3
159,3
160,3
163,3
164,3
168,3
171,3
176,3
178,3
180,3
181,3
193,3
196,3
200,3
1,2
4,2
8,2
17,2
22,2
23,2
30,2
31,2
34,2
44,2
46,2
47,2
53,2
54,2
60,2
63,2
64,2
75,2
76,2
122,2
128,2
130,2
131,2
145,2
147,2
150,2
160,2
162,2
164,2
178,2
181,2
190,2
200,2
3,1
12,1
13,1
15,1
16,1
25,1
29,1
30,1
37,1
47,1
48,1
56,1
57,1
61,1
62,1
65,1
69,1
71,1
72,1
75,1
122,1
125,1
126,1
129,1
130,1
132,1
133,1
134,1
135,1
136,1
139,1
141,1
144,1
156,1
161,1
172,1
174,1
175,1
176,1
188,1
191,1
194,1
