i,j
2,20
6,20
7,20
8,20
11,20
12,20
16,20
17,20
18,20
25,20
27,20
33,20
42,20
43,20
45,20
49,20
51,20
55,20
57,20
65,20
66,20
67,20
128,20
141,20
143,20
145,20
148,20
149,20
151,20
153,20
156,20
166,20
167,20
170,20
173,20
184,20
189,20
191,20
197,20
200,20
2,19
5,19
6,19
7,19
10,19
11,19
18,19
20,19
24,19
26,19
31,19
33,19
36,19
40,19
53,19
61,19
62,19
68,19
69,19
73,19
76,19
79,19
124,19
127,19
128,19
135,19
144,19
146,19
147,19
149,19
153,19
158,19
159,19
161,19
162,19
165,19
177,19
190,19
194,19
197,19
199,19
3,18
7,18
15,18
18,18
20,18
22,18
27,18
37,18
40,18
41,18
42,18
44,18
46,18
52,18
53,18
58,18
59,18
60,18
64,18
70,18
73,18
74,18
78,18
129,18
132,18
134,18
136,18
137,18
139,18
140,18
143,18
148,18
156,18
167,18
168,18
172,18
180,18
182,18
183,18
186,18
188,18
191,18
196,18
197,18
1,17
5,17
12,17
21,17
25,17
26,17
39,17
55,17
62,17
64,17
70,17
76,17
78,17
122,17
124,17
129,17
134,17
139,17
150,17
151,17
157,17
159,17
164,17
166,17
167,17
168,17
169,17
180,17
186,17
188,17
190,17
192,17
193,17
195,17
198,17
199,17
2,16
6,16
9,16
10,16
11,16
14,16
17,16
19,16
20,16
29,16
30,16
32,16
33,16
35,16
36,16
37,16
44,16
48,16
53,16
63,16
70,16
123,16
124,16
131,16
135,16
137,16
142,16
145,16
147,16
152,16
166,16
167,16
169,16
171,16
172,16
173,16
178,16
182,16
183,16
190,16
194,16
200,16
4,15
12,15
13,15
15,15
17,15
18,15
28,15
29,15
31,15
33,15
36,15
38,15
42,15
46,15
51,15
65,15
67,15
70,15
72,15
77,15
123,15
127,15
134,15
135,15
140,15
142,15
145,15
152,15
153,15
154,15
155,15
157,15
158,15
162,15
163,15
165,15
169,15
183,15
186,15
188,15
191,15
192,15
193,15
195,15
10,14
19,14
21,14
23,14
26,14
28,14
36,14
42,14
43,14
50,14
51,14
71,14
74,14
75,14
78,14
121,14
124,14
126,14
127,14
132,14
133,14
136,14
137,14
143,14
144,14
148,14
152,14
153,14
156,14
160,14
164,14
167,14
173,14
175,14
176,14
179,14
184,14
189,14
194,14
195,14
198,14
7,13
9,13
10,13
12,13
13,13
27,13
28,13
40,13
43,13
45,13
52,13
55,13
56,13
57,13
60,13
62,13
64,13
72,13
73,13
129,13
136,13
146,13
155,13
165,13
175,13
176,13
177,13
184,13
185,13
189,13
192,13
195,13
198,13
199,13
1,12
2,12
3,12
11,12
13,12
21,12
29,12
31,12
34,12
38,12
39,12
41,12
43,12
45,12
51,12
52,12
55,12
56,12
59,12
71,12
73,12
130,12
133,12
134,12
138,12
144,12
150,12
151,12
152,12
154,12
155,12
165,12
169,12
170,12
174,12
177,12
179,12
181,12
183,12
190,12
196,12
197,12
199,12
1,11
3,11
5,11
16,11
22,11
23,11
32,11
35,11
36,11
37,11
52,11
53,11
55,11
56,11
57,11
61,11
65,11
66,11
68,11
69,11
74,11
75,11
77,11
79,11
121,11
125,11
138,11
139,11
142,11
144,11
151,11
169,11
170,11
179,11
181,11
184,11
188,11
193,11
197,11
6,10
7,10
27,10
30,10
34,10
39,10
49,10
54,10
63,10
68,10
75,10
76,10
128,10
131,10
139,10
140,10
146,10
149,10
155,10
157,10
158,10
159,10
171,10
180,10
185,10
186,10
191,10
194,10
195,10
196,10
16,9
17,9
20,9
23,9
28,9
35,9
38,9
45,9
50,9
54,9
57,9
60,9
66,9
67,9
69,9
73,9
78,9
123,9
126,9
130,9
132,9
137,9
147,9
149,9
150,9
161,9
166,9
171,9
173,9
174,9
177,9
179,9
182,9
185,9
186,9
187,9
189,9
