i,j
43,20
45,20
49,20
50,20
57,20
80,20
81,20
89,20
90,20
91,20
98,20
104,20
106,20
120,20
125,20
128,20
130,20
131,20
137,20
140,20
142,20
143,20
163,20
60,19
72,19
73,19
74,19
77,19
78,19
79,19
95,19
105,19
108,19
113,19
122,19
124,19
128,19
136,19
141,19
174,19
57,18
61,18
63,18
69,18
79,18
82,18
85,18
86,18
89,18
90,18
94,18
103,18
105,18
106,18
107,18
108,18
109,18
114,18
116,18
145,18
148,18
176,18
55,17
60,17
66,17
72,17
76,17
78,17
84,17
94,17
102,17
108,17
109,17
110,17
115,17
116,17
117,17
118,17
124,17
133,17
137,17
138,17
154,17
7,16
32,16
39,16
55,16
75,16
79,16
80,16
82,16
85,16
86,16
89,16
92,16
93,16
98,16
103,16
109,16
111,16
117,16
122,16
128,16
137,16
138,16
140,16
185,16
36,15
49,15
64,15
70,15
76,15
77,15
86,15
87,15
97,15
103,15
108,15
109,15
113,15
117,15
122,15
124,15
138,15
146,15
164,15
34,14
52,14
56,14
63,14
73,14
74,14
76,14
77,14
79,14
81,14
86,14
93,14
95,14
96,14
101,14
105,14
106,14
110,14
116,14
118,14
121,14
123,14
126,14
130,14
148,14
155,14
66,13
67,13
68,13
75,13
81,13
84,13
86,13
88,13
93,13
98,13
100,13
101,13
103,13
109,13
111,13
123,13
125,13
134,13
155,13
45,12
66,12
76,12
78,12
80,12
84,12
85,12
89,12
91,12
94,12
99,12
104,12
105,12
107,12
108,12
109,12
117,12
118,12
122,12
129,12
130,12
131,12
141,12
154,12
43,11
61,11
75,11
80,11
94,11
97,11
102,11
104,11
106,11
110,11
111,11
115,11
118,11
122,11
123,11
136,11
137,11
144,11
28,10
53,10
63,10
71,10
77,10
87,10
89,10
91,10
109,10
111,10
114,10
117,10
121,10
124,10
125,10
132,10
134,10
144,10
34,9
40,9
52,9
55,9
60,9
66,9
80,9
82,9
84,9
86,9
87,9
95,9
96,9
101,9
107,9
111,9
112,9
114,9
124,9
125,9
140,9
141,9
56,8
70,8
79,8
94,8
101,8
104,8
106,8
111,8
116,8
132,8
50,7
56,7
60,7
66,7
70,7
71,7
77,7
88,7
96,7
98,7
99,7
102,7
106,7
107,7
109,7
112,7
114,7
115,7
116,7
118,7
119,7
124,7
127,7
131,7
136,7
75,6
76,6
77,6
79,6
86,6
92,6
94,6
101,6
113,6
118,6
121,6
122,6
123,6
135,6
138,6
139,6
158,6
159,6
62,5
72,5
73,5
89,5
90,5
92,5
94,5
96,5
103,5
105,5
108,5
110,5
111,5
119,5
127,5
129,5
131,5
137,5
144,5
148,5
54,4
57,4
65,4
74,4
77,4
84,4
85,4
90,4
93,4
99,4
100,4
101,4
104,4
115,4
127,4
132,4
137,4
139,4
140,4
6,3
58,3
68,3
71,3
74,3
77,3
79,3
80,3
86,3
87,3
88,3
89,3
91,3
92,3
98,3
102,3
104,3
109,3
110,3
113,3
115,3
116,3
135,3
137,3
66,2
71,2
73,2
76,2
80,2
81,2
88,2
90,2
91,2
100,2
106,2
109,2
111,2
117,2
124,2
133,2
147,2
158,2
54,1
57,1
61,1
70,1
73,1
78,1
80,1
83,1
89,1
93,1
99,1
102,1
103,1
111,1
112,1
120,1
121,1
125,1
126,1
132,1
137,1
140,1
149,1
