i,j
1,20
2,20
7,20
8,20
10,20
12,20
14,20
17,20
19,20
20,20
21,20
25,20
26,20
27,20
28,20
30,20
32,20
34,20
35,20
36,20
41,20
43,20
46,20
47,20
50,20
52,20
53,20
59,20
60,20
63,20
65,20
66,20
69,20
72,20
73,20
74,20
76,20
77,20
78,20
79,20
123,20
125,20
126,20
127,20
129,20
131,20
135,20
137,20
138,20
140,20
141,20
142,20
144,20
145,20
146,20
147,20
150,20
153,20
155,20
156,20
157,20
159,20
160,20
161,20
165,20
173,20
174,20
175,20
180,20
183,20
184,20
187,20
189,20
190,20
193,20
197,20
199,20
200,20
1,19
3,19
4,19
5,19
6,19
8,19
9,19
10,19
13,19
15,19
18,19
20,19
21,19
22,19
23,19
26,19
31,19
33,19
34,19
35,19
42,19
43,19
44,19
45,19
46,19
48,19
50,19
56,19
58,19
61,19
62,19
67,19
68,19
69,19
70,19
71,19
77,19
78,19
79,19
121,19
123,19
124,19
126,19
129,19
132,19
133,19
135,19
136,19
141,19
143,19
144,19
145,19
148,19
149,19
154,19
158,19
159,19
162,19
164,19
166,19
167,19
168,19
173,19
175,19
176,19
177,19
178,19
180,19
188,19
189,19
190,19
191,19
192,19
194,19
199,19
200,19
2,18
3,18
5,18
13,18
17,18
18,18
19,18
23,18
25,18
27,18
29,18
32,18
34,18
38,18
39,18
40,18
42,18
43,18
47,18
54,18
56,18
59,18
60,18
63,18
66,18
67,18
69,18
71,18
72,18
75,18
79,18
121,18
122,18
128,18
130,18
131,18
133,18
134,18
135,18
136,18
137,18
140,18
146,18
147,18
150,18
152,18
155,18
157,18
159,18
161,18
162,18
163,18
165,18
169,18
176,18
177,18
181,18
182,18
184,18
186,18
188,18
192,18
194,18
195,18
2,17
8,17
9,17
10,17
11,17
13,17
21,17
23,17
24,17
26,17
27,17
28,17
30,17
31,17
32,17
33,17
35,17
36,17
37,17
39,17
40,17
41,17
46,17
48,17
49,17
51,17
52,17
54,17
55,17
56,17
57,17
60,17
62,17
65,17
68,17
71,17
73,17
75,17
76,17
78,17
79,17
121,17
122,17
124,17
129,17
130,17
133,17
134,17
135,17
137,17
139,17
142,17
144,17
145,17
149,17
151,17
152,17
154,17
157,17
160,17
161,17
164,17
165,17
169,17
170,17
171,17
178,17
185,17
186,17
187,17
189,17
190,17
193,17
195,17
196,17
197,17
198,17
199,17
1,16
3,16
4,16
6,16
8,16
10,16
13,16
14,16
15,16
16,16
18,16
20,16
22,16
26,16
31,16
33,16
36,16
37,16
38,16
40,16
42,16
43,16
45,16
46,16
47,16
48,16
49,16
50,16
54,16
58,16
59,16
60,16
61,16
63,16
64,16
65,16
66,16
67,16
70,16
71,16
72,16
74,16
77,16
79,16
121,16
123,16
125,16
126,16
127,16
129,16
130,16
131,16
132,16
133,16
136,16
140,16
141,16
142,16
145,16
148,16
152,16
155,16
159,16
161,16
162,16
164,16
165,16
166,16
