i,j
3,20
4,20
5,20
6,20
7,20
10,20
14,20
17,20
18,20
19,20
20,20
23,20
24,20
25,20
26,20
27,20
29,20
30,20
32,20
33,20
38,20
39,20
47,20
51,20
52,20
53,20
57,20
61,20
64,20
65,20
67,20
68,20
70,20
73,20
74,20
75,20
76,20
84,20
85,20
87,20
129,20
130,20
131,20
132,20
133,20
134,20
135,20
136,20
138,20
142,20
143,20
144,20
150,20
152,20
155,20
157,20
158,20
159,20
161,20
162,20
163,20
165,20
167,20
170,20
173,20
175,20
176,20
177,20
179,20
181,20
182,20
186,20
190,20
191,20
192,20
193,20
194,20
195,20
196,20
198,20
200,20
1,19
3,19
7,19
8,19
11,19
13,19
14,19
15,19
16,19
17,19
18,19
20,19
22,19
24,19
27,19
30,19
32,19
35,19
36,19
37,19
41,19
43,19
44,19
45,19
47,19
53,19
56,19
57,19
60,19
61,19
64,19
66,19
67,19
69,19
71,19
72,19
75,19
78,19
79,19
80,19
81,19
121,19
128,19
132,19
134,19
139,19
140,19
142,19
145,19
146,19
147,19
148,19
150,19
151,19
152,19
153,19
154,19
158,19
159,19
162,19
165,19
168,19
173,19
174,19
176,19
177,19
178,19
179,19
180,19
184,19
185,19
187,19
189,19
190,19
192,19
193,19
194,19
196,19
198,19
200,19
2,18
3,18
5,18
11,18
12,18
14,18
16,18
17,18
18,18
19,18
20,18
23,18
24,18
26,18
27,18
30,18
31,18
34,18
35,18
36,18
37,18
40,18
43,18
45,18
46,18
47,18
48,18
50,18
54,18
59,18
60,18
61,18
64,18
65,18
66,18
69,18
70,18
73,18
77,18
79,18
121,18
133,18
134,18
137,18
139,18
140,18
141,18
142,18
143,18
144,18
145,18
147,18
149,18
151,18
152,18
155,18
157,18
159,18
162,18
164,18
165,18
170,18
171,18
176,18
177,18
179,18
180,18
181,18
182,18
183,18
184,18
189,18
192,18
194,18
195,18
196,18
197,18
198,18
199,18
1,17
2,17
4,17
5,17
7,17
9,17
10,17
11,17
12,17
13,17
14,17
19,17
23,17
25,17
26,17
27,17
28,17
30,17
34,17
36,17
39,17
41,17
43,17
49,17
50,17
51,17
53,17
58,17
60,17
61,17
62,17
63,17
64,17
67,17
72,17
73,17
75,17
77,17
79,17
121,17
127,17
128,17
131,17
132,17
134,17
137,17
140,17
141,17
142,17
144,17
147,17
149,17
151,17
153,17
155,17
157,17
158,17
159,17
160,17
161,17
163,17
165,17
166,17
167,17
168,17
169,17
171,17
173,17
175,17
178,17
181,17
186,17
187,17
188,17
194,17
196,17
199,17
1,16
2,16
7,16
8,16
10,16
11,16
14,16
20,16
21,16
22,16
