i,j
82,20
83,20
89,20
90,20
91,20
93,20
95,20
96,20
97,20
99,20
100,20
101,20
102,20
103,20
104,20
105,20
106,20
107,20
108,20
109,20
110,20
111,20
112,20
113,20
114,20
115,20
116,20
117,20
118,20
119,20
120,20
121,20
122,20
124,20
125,20
126,20
127,20
128,20
137,20
147,20
148,20
154,20
84,19
87,19
91,19
92,19
93,19
94,19
95,19
96,19
97,19
98,19
100,19
101,19
103,19
104,19
105,19
106,19
107,19
108,19
109,19
110,19
111,19
112,19
114,19
115,19
116,19
117,19
120,19
122,19
123,19
124,19
125,19
126,19
127,19
130,19
131,19
133,19
135,19
141,19
157,19
71,18
82,18
85,18
86,18
87,18
89,18
92,18
93,18
95,18
96,18
97,18
98,18
99,18
100,18
101,18
102,18
103,18
104,18
105,18
106,18
107,18
108,18
109,18
110,18
111,18
112,18
113,18
114,18
115,18
116,18
117,18
118,18
119,18
120,18
122,18
123,18
124,18
125,18
129,18
132,18
135,18
146,18
148,18
160,18
76,17
81,17
85,17
87,17
88,17
91,17
92,17
93,17
95,17
97,17
98,17
99,17
100,17
101,17
102,17
103,17
104,17
105,17
106,17
107,17
109,17
110,17
111,17
112,17
113,17
114,17
115,17
118,17
120,17
122,17
124,17
125,17
126,17
130,17
133,17
143,17
146,17
86,16
90,16
91,16
92,16
94,16
95,16
96,16
97,16
98,16
99,16
100,16
101,16
102,16
103,16
104,16
105,16
106,16
107,16
108,16
109,16
110,16
111,16
113,16
114,16
115,16
116,16
118,16
119,16
120,16
121,16
122,16
123,16
124,16
125,16
126,16
127,16
128,16
131,16
139,16
140,16
143,16
75,15
82,15
86,15
88,15
91,15
92,15
93,15
94,15
95,15
96,15
97,15
98,15
99,15
100,15
102,15
103,15
104,15
105,15
106,15
107,15
108,15
109,15
110,15
111,15
112,15
113,15
114,15
115,15
116,15
117,15
118,15
119,15
120,15
121,15
122,15
123,15
124,15
125,15
136,15
137,15
140,15
84,14
85,14
86,14
88,14
89,14
90,14
91,14
92,14
93,14
94,14
95,14
96,14
97,14
98,14
99,14
100,14
101,14
102,14
103,14
104,14
106,14
107,14
108,14
109,14
111,14
112,14
113,14
114,14
115,14
116,14
118,14
119,14
120,14
121,14
122,14
123,14
124,14
125,14
126,14
130,14
137,14
83,13
85,13
86,13
87,13
89,13
90,13
92,13
94,13
95,13
96,13
97,13
99,13
101,13
102,13
103,13
104,13
106,13
107,13
108,13
109,13
110,13
111,13
112,13
114,13
115,13
116,13
117,13
118,13
119,13
120,13
121,13
122,13
125,13
127,13
128,13
129,13
131,13
133,13
134,13
140,13
152,13
79,12
86,12
90,12
92,12
93,12
94,12
96,12
98,12
100,12
101,12
102,12
103,12
104,12
105,12
106,12
107,12
108,12
109,12
110,12
111,12
112,12
113,12
114,12
115,12
117,12
118,12
119,12
120,12
123,12
124,12
125,12
126,12
128,12
131,12
137,12
156,12
81,11
82,11
84,11
85,11
87,11
88,11
89,11
90,11
92,11
94,11
96,11
97,11
98,11
101,11
104,11
105,11
106,11
107,11
108,11
109,11
110,11
111,11
112,11
114,11
115,11
116,11
117,11
118,11
119,11
120,11
121,11
124,11
126,11
128,11
130,11
135,11
141,11
146,11
147,11
154,11
65,10
82,10
83,10
84,10
86,10
87,10
88,10
89,10
90,10
91,10
93,10
94,10
95,10
96,10
97,10
98,10
99,10
100,10
101,10
102,10
103,10
104,10
105,10
106,10
107,10
108,10
109,10
110,10
111,10
112,10
113,10
115,10
116,10
117,10
118,10
120,10
122,10
124,10
127,10
129,10
130,10
132,10
134,10
138,10
140,10
143,10
75,9
83,9
88,9
89,9
91,9
92,9
93,9
94,9
95,9
96,9
97,9
98,9
99,9
100,9
101,9
102,9
103,9
104,9
105,9
106,9
107,9
108,9
109,9
110,9
111,9
112,9
113,9
114,9
115,9
116,9
117,9
118,9
119,9
120,9
123,9
124,9
125,9
126,9
127,9
129,9
130,9
131,9
132,9
141,9
151,9
167,9
85,8
87,8
88,8
90,8
91,8
93,8
94,8
96,8
97,8
98,8
99,8
100,8
102,8
103,8
105,8
106,8
107,8
108,8
109,8
111,8
112,8
113,8
114,8
117,8
118,8
119,8
120,8
121,8
123,8
125,8
127,8
129,8
131,8
134,8
135,8
140,8
84,7
86,7
87,7
88,7
91,7
92,7
93,7
94,7
95,7
96,7
97,7
98,7
99,7
100,7
102,7
103,7
104,7
105,7
106,7
107,7
108,7
109,7
110,7
111,7
112,7
113,7
114,7
115,7
116,7
117,7
118,7
119,7
121,7
124,7
125,7
126,7
129,7
131,7
137,7
140,7
81,6
82,6
83,6
84,6
87,6
89,6
90,6
91,6
92,6
93,6
94,6
95,6
96,6
97,6
98,6
99,6
100,6
101,6
102,6
103,6
104,6
105,6
106,6
107,6
108,6
109,6
110,6
112,6
115,6
117,6
118,6
119,6
120,6
121,6
122,6
124,6
129,6
130,6
135,6
140,6
143,6
154,6
74,5
80,5
82,5
85,5
86,5
88,5
89,5
90,5
91,5
92,5
93,5
94,5
95,5
96,5
97,5
98,5
99,5
100,5
101,5
102,5
103,5
104,5
106,5
107,5
108,5
109,5
110,5
112,5
113,5
114,5
115,5
116,5
117,5
118,5
119,5
121,5
122,5
123,5
125,5
129,5
130,5
131,5
132,5
133,5
162,5
80,4
83,4
84,4
89,4
91,4
92,4
93,4
94,4
96,4
97,4
98,4
100,4
101,4
102,4
103,4
104,4
105,4
106,4
107,4
108,4
109,4
110,4
111,4
112,4
113,4
114,4
115,4
116,4
118,4
120,4
121,4
123,4
124,4
126,4
130,4
131,4
132,4
135,4
136,4
83,3
85,3
86,3
87,3
89,3
90,3
92,3
93,3
94,3
95,3
96,3
97,3
98,3
99,3
100,3
101,3
102,3
103,3
104,3
106,3
107,3
109,3
110,3
111,3
112,3
113,3
114,3
115,3
116,3
117,3
118,3
119,3
120,3
121,3
122,3
123,3
129,3
130,3
131,3
132,3
134,3
137,3
162,3
82,2
83,2
85,2
86,2
87,2
88,2
89,2
92,2
93,2
94,2
95,2
96,2
