Value
-2900.944528280009
-2899.9630843897403
-2899.171481599618
-2898.5380463713173
-2898.070991274657
-2897.676646066888
-2897.3920784787506
-2897.20667318245
-2897.100762781972
-2897.06394009741
-2897.0887626520366
-2897.168049121925
-2897.2945470741693
-2897.4837492073534
-2897.6899880475626
-2897.9429811760897
-2898.208497962145
-2898.510828943547
-2898.848280264988
-2899.2019306077773
-2899.5599733202926
-2899.949198053325
-2900.354657792654
-2900.7768257090893
-2901.212502226768
-2901.652210452915
-2902.108413769956
-2902.571276692997
-2903.0051280983303
-2903.4814078970235
-2903.965055763473
-2904.4995339391958
-2904.978957612446
-2905.479532937219
-2905.9866957017175
-2906.4943198048472
-2906.999942968767
-2907.5107334871595
-2908.025535878167
-2908.5511273204957
