Value
-2957.37657775308
-2953.3764226222115
-2949.581730661424
-2945.8404588820267
-2942.1637599857486
-2938.510286794462
-2934.9763062649827
-2931.4747859089666
-2928.124944181714
-2924.8295011431187
-2921.652989887088
-2918.610174961777
-2915.7120616496513
-2912.973806282835
-2910.4049889645394
-2908.0181957337954
-2905.833449935242
-2903.87285236313
-2902.118472930064
-2900.5746588708807
-2899.3195208638554
-2898.329686921763
-2897.6174676475953
-2897.192239157091
-2897.064720730785
-2897.2429315463864
-2897.7348515124854
-2898.5456765755193
-2899.6791207000397
-2901.1377376134465
-2902.916362399793
-2905.0167809385357
-2907.4321474108924
-2910.1382498780295
-2913.143818341328
-2916.4792847425965
-2920.076752463615
-2923.9472340010007
-2928.0963373754485
-2932.486991175086
