Value
-3750.39640393064
-3749.6745288875336
-3749.0116046783273
-3748.4054091466096
-3747.8487063712187
-3747.344451920693
-3746.8882967000523
-3746.477307859154
-3746.110250808309
-3745.7867298821284
-3745.5011982060887
-3745.2518656607444
-3745.0422160129065
-3744.8685168326397
-3744.7233753471396
-3744.6101753295925
-3744.529961941973
-3744.4780902985417
-3744.45530430411
-3744.4581462238034
-3744.4888137333
-3744.543655061155
-3744.619398601209
-3744.7241964941372
-3744.842061147986
-3744.9860881366994
-3745.1108345684834
-3745.293588925023
-3745.4959530528936
-3745.7177302028836
-3745.952943119116
-3746.2134642796486
-3746.4789531277975
-3746.7645272286513
-3747.0660303350505
-3747.3861063104155
-3747.7097035739666
-3748.05267655269
-3748.406607998798
-3748.772399702696
